지역,총의료기관수,인구수,면적_km2,고령인구비율,인구10k명당_의료기관수,면적1km2당_의료기관수,인구기준점수,면적기준점수,고령기준점수,실제취약지역,의료접근_최종점수,예측취약지역
충청남도 서산시,115.0,174645,742.278703,17.9,6.584786280740931,0.15492833020160085,0.35938106871591163,0.008402027008389903,0.7038216560509554,1,0.526,False
충청남도 논산시,118.0,118032,556.254933,25.4,9.997288870814693,0.21213295019893333,0.5883621508528821,0.011725884344598111,0.46496815286624216,0,0.409,True
충청남도 계룡시,27.0,42757,60.694409,11.2,6.314755478635077,0.4448515183663787,0.34126183110525943,0.025247927146583395,0.9171974522292994,0,0.665,False
충청남도 당진시,118.0,166136,705.62421,18.0,7.102614725285308,0.1672278222993511,0.39412768486148725,0.009116685318202089,0.7006369426751592,1,0.53,False
충청남도 금산군,54.0,51781,577.213108,30.0,10.428535563237482,0.09355296900152862,0.6172990766697868,0.004835830001980255,0.3184713375796179,1,0.317,True
충청남도 부여군,71.0,66214,624.654252,33.2,10.722807865406107,0.11366287794035539,0.637044934266939,0.006004310246406585,0.21656050955414008,1,0.254,True
충청남도 서천군,58.0,52374,366.124031,35.1,11.074197120708748,0.15841626085450808,0.6606233755447707,0.008604692175808056,0.1560509554140127,1,0.219,True
충청남도 청양군,32.0,31139,479.251284,34.1,10.276502135585599,0.06677081745700654,0.6070975375160924,0.003279661096481874,0.18789808917197448,1,0.23,True
충청남도 홍성군,76.0,99973,446.693932,23.0,7.6020525541896316,0.17013886815010507,0.42764027906590046,0.009285830766725622,0.5414012738853503,1,0.431,True
충청남도 예산군,71.0,78726,542.721278,30.1,9.018621548154357,0.1308222155240429,0.5226929545138952,0.007001348424698348,0.3152866242038216,1,0.299,True
충청남도 태안군,51.0,62283,516.049294,29.7,8.188430229757719,0.09882776818603689,0.4669865919692527,0.0051423206310111,0.3280254777070063,1,0.297,True
전라남도 목포시,153.0,228916,51.729837,15.8,6.683674360900942,2.95767411755038,0.3660165214394793,0.17125473273810718,0.7707006369426751,0,0.598,False
전라남도 여수시,215.0,281604,512.334189,18.5,7.6348347324611865,0.41964796536348264,0.42983998396202644,0.02378348223721952,0.6847133757961783,0,0.528,False
전라남도 순천시,197.0,281349,911.038484,15.2,7.001979747573298,0.21623674900653264,0.3873750142073009,0.011964334346951024,0.7898089171974523,0,0.587,False
전라남도 나주시,97.0,114380,608.493768,22.1,8.480503584542753,0.159410013875442,0.48658489880617345,0.008662433897878132,0.5700636942675159,1,0.46,True
전라남도 광양시,86.0,151751,464.863829,12.5,5.667178469993608,0.185000412239,0.29780900424526846,0.010149356341225699,0.8757961783439491,0,0.628,False
전라남도 담양군,48.0,46122,455.073505,30.2,10.407180954858852,0.10547746566788149,0.6158661689411968,0.005528699314404592,0.3121019108280254,1,0.313,True
