지역,사업장 수(1종),사업장 수(2종),사업장 수(3종),배출구 수(1종),배출구 수(2종),배출구 수(3종),방지시설 수(1종),방지시설 수(2종),방지시설 수(3종),배출시설 수(1종),배출시설 수(2종),배출시설 수(3종)
충청북도 보은,1.0,4.0,1.0,1.0,168.0,117.0,5.0,129.0,80.0,2.0,380.0,296.0
충청북도 영동,4.0,5.0,3.0,70.0,40.0,14.0,83.0,51.0,17.0,271.0,79.0,18.0
충청북도 옥천,1.0,3.0,1.0,1.0,31.0,2.0,3.0,32.0,2.0,1.0,50.0,2.0
충청북도 음성,7.0,22.0,28.0,126.0,315.0,301.0,141.0,335.0,282.0,352.0,902.0,795.0
충청북도 제천,2.0,3.0,6.0,88.0,36.0,36.0,94.0,25.0,40.0,114.0,42.0,64.0
충청북도 증평,2.0,3.0,3.0,62.0,74.0,53.0,50.0,57.0,32.0,203.0,199.0,148.0
충청북도 진천,6.0,16.0,20.0,233.0,389.0,240.0,298.0,239.0,198.0,983.0,948.0,979.0
충청북도 충주,9.0,15.0,20.0,137.0,306.0,212.0,103.0,291.0,197.0,311.0,1158.0,524.0
경기도 수원,7.0,3.0,2.0,149.0,46.0,29.0,92.0,61.0,24.0,255.0,719.0,169.0
경기도 성남,5.0,2.0,8.0,106.0,109.0,34.0,50.0,40.0,25.0,38.0,116.0,283.0
경기도 안산,34.0,43.0,88.0,443.0,566.0,729.0,550.0,596.0,793.0,1666.0,5879.0,5524.0
경기도 고양,5.0,2.0,2.0,43.0,35.0,25.0,38.0,42.0,12.0,46.0,36.0,33.0
경기도 용인,12.0,6.0,8.0,219.0,131.0,101.0,283.0,248.0,115.0,1292.0,396.0,497.0
경기도 안양,5.0,4.0,2.0,42.0,36.0,10.0,43.0,34.0,12.0,78.0,82.0,15.0
경기도 부천,4.0,2.0,2.0,58.0,13.0,137.0,53.0,16.0,228.0,67.0,114.0,964.0
충청북도 청주,26.0,43.0,25.0,1318.0,795.0,329.0,1034.0,604.0,292.0,7937.0,2669.0,1441.0
충청남도 천안,22.0,24.0,31.0,329.0,404.0,477.0,382.0,427.0,427.0,1521.0,1622.0,1543.0
경상북도 포항,43.0,32.0,39.0,2151.0,579.0,348.0,2035.0,509.0,373.0,7629.0,3595.0,778.0
경상남도 창원,39.0,44.0,45.0,1787.0,1225.0,668.0,1346.0,901.0,438.0,3031.0,3432.0,1066.0
전라북도 전주,14.0,5.0,6.0,680.0,40.0,55.0,396.0,53.0,62.0,2355.0,175.0,209.0
광주광역시,15.0,20.0,30.0,506.0,395.0,239.0,412.0,273.0,216.0,1217.0,1059.0,775.0
대구광역시,21.0,35.0,50.0,497.0,507.0,498.0,613.0,449.0,491.0,2437.0,2061.0,1519.0
대전광역시,11.0,26.0,25.0,242.0,290.0,289.0,302.0,338.0,328.0,574.0,900.0,852.0
부산광역시,32.0,49.0,95.0,919.0,601.0,746.0,770.0,583.0,760.0,4648.0,1955.0,1824.0
서울특별시,16.0,13.0,21.0,74.0,86.0,156.0,167.0,147.0,237.0,102.0,184.0,312.0
세종특별자치시,14.0,11.0,10.0,209.0,348.0,105.0,197.0,388.0,124.0,400.0,1808.0,436.0
울산광역시,103.0,43.0,58.0,7040.0,1003.0,576.0,5274.0,766.0,641.0,20762.0,2937.0,2129.0
인천광역시,73.0,36.0,67.0,1550.0,480.0,627.0,1712.0,443.0,509.0,4175.0,1406.0,1707.0
